,1
1809,6
3656,3
1352,2
2143,9
2237,2
4210,4
2388,5
5259,3
8258,2
2480,8
32,0
7197,3
318,7
416,7
6960,2
6341,5
7616,1
3721,2
5778,8
8176,3
4035,3
143,5
3615,6
8059,9
2474,8
2977,6
915,4
2049,6
1998,0
862,3
3249,0
3190,3
5393,0
8173,4
2951,7
4948,9
6379,8
5726,5
6331,5
96,9
4061,5
1543,4
8545,3
7663,1
5253,0
2987,6
4277,4
5149,1
6267,3
6790,4
1235,2
3729,3
4781,0
2427,6
5136,1
822,3
2163,5
419,3
804,9
7943,6
8476,9
467,5
1068,8
6621,4
6993,2
6856,0
128,5
8017,7
3521,9
7844,9
4211,4
5383,2
1547,4
1003,9
1302,7
5169,6
4889,2
8081,4
2481,8
4301,4
1229,2
5538,5
7191,4
507,5
1513,4
5500,2
5033,2
8437,9
7341,3
4834,9
6953,4
6527,4
5721,5
4071,0
8287,2
7698,9
6517,4
4566,2
4156,1
3011,1
1067,8
2996,6
297,4
7655,7
4924,9
7650,0
4273,4
4394,6
7570,3
1933,0
2414,7
5626,8
163,8
4378,7
950,5
3098,7
1027,8
4293,3
7469,3
2083,9
1954,9
4802,0
1696,5
5615,8
5677,7
4338,7
5820,8
1900,0
1629,2
7924,4
5154,4
4287,1
7083,5
6045,7
1938,0
3395,7
5302,8
866,3
3053,1
7205,0
4158,1
1969,4
1210,1
313,7
6611,4
2245,1
3513,9
5035,2
154,5
5537,5
7379,6
7273,2
293,4
375,7
151,5
7388,6
4238,4
1865,0
2485,8
8109,0
3400,4
2809,2
7629,0
3262,0
7806,0
2684,8
5697,7
5123,2
6047,7
2654,8
8597,2
8103,0
2880,3
5996,3
5400,0
2393,5
5556,5
3233,0
6255,3
110,3
1351,2
6694,3
2435,3
1134,3
3025,2
8613,7
2509,8
8187,2
255,5
2890,0
2826,2
436,8
8042,4
8031,9
8085,5
5374,7
4877,2
4508,0
8063,4
4253,4
8113,0
6180,6
7592,1
4225,4
1925,0
883,4
5599,8
6793,4
7645,0
6127,3
46,0
5182,5
8584,9
1812,6
8435,6
6051,3
1052,8
3711,1
7778,0
88,0
3304,4
7029,2
5437,2
5911,9
1120,7
2308,3
4443,1
4768,0
4442,1
6427,4
2107,4
2500,8
3436,2
7969,9
4717,0
2578,2
5947,8
872,9
3255,0
7246,9
1193,5
1924,0
7306,7
4122,9
7643,0
2506,8
3691,5
2197,9
7408,4
7609,3
6995,2
3987,3
3543,9
8178,2
7714,8
2339,2
380,7
430,8
5119,6
1981,9
6197,3
8608,2
1532,9
2799,2
719,5
5179,3
6503,1
7536,1
2459,8
8200,3
674,5
8659,7
662,8
5026,2
6531,4
3209,5
4330,7
3152,4
4763,0
449,2
1114,7
5810,8
1684,5
6496,2
36,0
4464,3
3828,7
7947,2
6091,9
2900,7
954,5
4606,5
8510,8
3050,9
2707,8
2942,7
1353,2
6452,9
6624,4
1173,3
8653,9
1133,7
4956,9
2739,8
1433,6
6614,3
1388,0
393,7
1699,5
3147,4
4455,2
5131,3
398,7
4754,0
2479,8
1033,8
5514,2
7716,8
2396,8
8536,1
811,9
6094,9
6936,2
4435,2
6714,2
8697,4
2279,2
4648,2
2968,2
7285,4
3786,5
4561,2
122,5
5486,2
8070,4
4449,3
5108,6
1581,1
3419,4
4056,5
1655,2
8214,3
8219,9
3684,5
8321,6
3578,2
8351,3
4104,0
8538,1
8338,7
7020,3
3297,4
5021,2
1199,3
2136,0
6723,9
2243,9
5472,2
1089,7
8274,2
5120,6
6609,4
7909,4
8271,6
1643,3
969,0
7686,1
8299,3
5679,7
4256,4
2958,7
2828,3
2832,3
619,9
1230,2
6901,4
2390,5
5012,0
746,5
7265,9
6495,2
1090,7
8402,3
3421,0
5159,3
3682,5
3346,9
938,3
4963,5
1314,9
6325,5
4911,9
2557,2
4175,4
7084,5
5070,9
7182,4
6428,4
5402,0
6041,7
4215,4
2667,8
1041,8
6990,2
4826,3
5761,8
993,8
1947,4
8631,7
40,0
7509,1
5735,5
8259,2
2752,8
3161,4
1921,0
640,5
5792,8
2777,8
7048,9
2541,9
1247,4
7103,5
5784,8
2818,2
4339,7
8315,3
7148,7
4841,3
6149,4
6290,5
1764,4
6729,2
2108,4
5256,3
3257,0
8573,8
273,2
4270,4
4022,7
6968,0
7286,4
7815,8
5562,5
6568,2
3847,5
6704,3
1840,4
7894,0
4333,7
67,0
167,8
4792,0
4344,7
1029,8
2187,5
8045,9
7387,6
8681,3
6860,0
7719,8
6037,7
3952,0
4361,7
2094,9
4633,3
786,9
3023,8
4474,3
5125,2
2461,8
5293,8
4714,0
5607,8
2114,2
6112,7
6480,9
2246,2
8221,9
6491,3
4591,9
2296,1
4586,2
6606,4
5541,5
8519,8
6320,5
2883,0
3647,2
2748,8
686,5
7154,7
3315,9
4960,3
5292,8
6185,3
2298,3
3837,7
7323,9
7759,0
7950,2
6635,5
6763,3
5768,8
7702,9
2568,8
5268,3
2161,5
8195,3
3742,3
4272,4
2513,8
7315,1
699,5
3851,5
562,3
6923,4
303,4
1081,1
6027,7
4230,4
1393,0
1668,9
3816,7
4172,4
1283,7
767,3
4746,0
7398,4
8637,9
1442,6
6782,2
1774,2
6912,4
7848,9
4696,7
8280,4
3418,4
8523,8
241,5
4047,2
8336,8
1641,1
4958,9
2650,8
2135,0
3133,0
2976,6
6358,9
5846,8
5906,3
5244,0
2545,2
8131,3
1346,0
2955,7
2098,4
5520,3
3812,7
7094,5
3530,9
2524,8
1096,7
8604,2
7280,2
1097,7
7802,0
3143,3
3565,3
5414,0
3834,7
2466,8
6251,2
2884,0
4112,2
907,8
89,0
643,5
8698,4
103,3
329,7
1813,6
6994,2
6396,3
7371,3
4594,9
2426,6
956,5
3549,2
5127,2
3445,9
3949,0
3139,2
3439,2
5549,5
2236,2
411,7
3981,9
3673,5
7531,1
7701,9
2683,8
5304,8
7510,1
6598,3
5926,3
2528,8
7999,4
7478,9
8380,7
6847,0
1737,5
6899,4
7821,8
1714,3
1968,4
4653,2
536,9
779,9
4595,9
8297,3
4840,3
4176,4
3473,7
5890,1
3426,2
8497,5
4954,9
7747,3
3714,1
2027,8
3511,9
4897,2
1597,9
3835,7
5566,5
3062,8
4224,4
3049,9
3702,1
2171,2
4898,2
2093,9
8357,9
1202,3
6701,3
8712,2
5849,8
2062,6
8361,9
2662,8
4516,9
732,5
3810,7
6093,9
4223,4
1877,0
3908,0
3512,9
79,0
7102,5
7,2
3620,6
8318,3
2353,4
6203,8
6594,3
5451,4
975,0
6502,2
1729,5
2335,3
4814,2
6794,4
2764,8
4752,0
783,9
1610,4
3680,5
2931,7
4771,0
7565,1
552,9
7750,0
3980,9
1368,8
420,3
3985,1
7011,0
6413,8
5419,0
4131,3
2030,8
425,8
8683,4
5757,8
5519,3
2343,2
557,9
4334,7
3487,7
4985,5
2177,5
1864,0
4329,7
5348,7
3359,2
1220,4
5922,2
1121,7
4376,7
652,8
3582,2
2549,2
5571,9
2190,5
7697,1
115,8
6845,9
3299,4
312,7
2858,4
996,3
6659,0
5886,8
5923,2
3596,6
4983,5
159,8
7291,4
5090,3
4139,3
6110,7
58,2
2138,0
2897,0
4494,0
4858,3
7308,7
4856,2
5469,2
1042,8
7941,6
2527,8
6253,3
7872,8
3232,0
7625,3
1347,0
4971,5
2945,7
4564,2
4310,4
4395,3
8284,4
3484,7
2694,8
6500,2
5825,8
8078,4
5031,2
4923,9
5219,5
5733,5
2780,8
5771,8
1728,5
475,5
8037,4
2217,9
2872,9
4913,9
2229,9
6373,8
1481,6
6608,4
4697,7
6189,9
5711,3
5672,7
8451,8
3444,9
4552,4
8472,9
1234,2
5728,5
4775,0
311,7
1620,4
3655,3
7423,2
7010,0
5099,6
5241,9
2225,9
5686,7
1800,9
8212,2
3805,7
4457,2
8560,4
8694,4
899,8
6381,8
2283,2
8555,4
2192,5
8312,3
1556,2
1259,4
6516,4
3667,5
5097,6
4995,0
8727,1
2775,8
4702,7
350,7
6773,8
7436,8
1564,3
1782,6
1578,2
3397,7
4107,2
3415,4
8183,2
5260,3
2220,9
4953,9
1059,8
3063,8
3940,0
3483,7
3357,2
4617,2
7558,1
634,5
1631,2
6105,7
6708,2
7452,3
3677,5
7359,2
6459,3
2961,3
7243,9
525,8
399,7
1108,7
1304,7
8075,4
471,5
8082,5
3312,4
7449,1
1919,0
1944,0
4255,4
6643,5
1967,7
6202,8
4437,2
4055,5
3823,7
2287,2
8358,9
4245,4
928,5
7071,5
1992,0
8408,5
4848,2
1823,6
5339,7
6524,4
6443,9
211,4
6545,2
8049,9
566,9
501,5
7335,4
4226,4
6945,4
2573,6
3958,0
6558,3
6582,9
4218,4
6188,9
3159,4
3352,2
6717,2
784,9
1638,1
850,8
8591,9
8676,9
7553,1
1262,9
234,5
4368,7
541,9
394,7
2328,5
947,5
1828,5
2785,8
347,7
1450,6
6885,8
1718,5
1609,4
987,0
8468,9
6876,0
4305,4
6789,4
4785,0
7735,8
7681,1
7114,7
4343,7
4113,2
1274,7
4528,9
6364,9
8265,9
8137,9
6031,7
1561,2
3412,4
5037,2
195,3
1792,9
1980,9
960,7
8193,3
4235,4
2493,8
6134,7
2222,9
1299,7
4298,3
1730,5
4388,7
1129,7
2278,2
4574,1
4275,4
892,4
3789,5
4086,0
1501,2
8169,4
7076,5
5161,3
5789,8
2194,5
5824,8
1963,7
2392,5
4951,9
1603,9
3883,0
1988,0
2206,9
6662,3
4478,0
5574,9
1639,1
7237,3
2999,6
1591,4
7675,1
3279,4
2320,5
6343,5
7767,0
379,7
6652,5
121,8
3331,5
390,7
1453,6
962,7
4445,1
4289,1
4589,9
7200,0
391,7
2645,8
5280,3
6788,4
6605,4
5872,7
4192,4
6989,2
2966,2
7884,0
856,8
3862,0
4625,1
4655,2
2401,8
5052,2
6661,3
2482,8
1385,0
1239,2
3263,0
6680,3
5907,3
5581,9
4111,2
6566,3
3973,2
8680,9
3689,5
5981,4
2817,2
8119,0
5967,4
8410,5
910,4
5998,0
3298,4
5247,0
6483,5
2544,2
3813,7
8609,2
4103,0
2399,8
4393,7
2503,8
8665,9
6262,4
2386,5
5523,3
462,5
1336,0
27,0
1544,4
246,5
4199,4
2074,9
8583,9
2458,8
1767,4
6602,4
4666,7
5637,8
3068,2
5576,9
8197,3
2974,6
8072,4
1418,8
1866,0
3404,4
3610,6
4646,8
963,7
3071,2
5875,7
2293,2
4894,2
3254,0
4151,1
1542,4
1999,0
3086,7
7902,4
495,8
7272,8
1080,1
155,8
7299,3
3204,5
4562,2
3244,0
6642,5
7889,0
1962,7
7069,5
2514,8
2477,8
4331,7
1076,9
4045,2
5902,3
8572,9
3377,7
3623,2
3223,4
8381,7
7331,4
3593,6
1177,9
3849,5
8301,3
132,5
1485,6
6964,2
4842,2
1735,5
7986,1
8232,9
5233,5
2543,2
709,5
113,3
3495,9
5773,8
7066,0
5174,5
4542,0
5684,7
7206,0
1200,3
7710,9
3360,2
946,5
3070,2
6803,0
3599,6
1960,7
4882,5
5359,7
2691,8
2241,9
5970,4
2686,8
3571,3
8547,3
1300,7
6239,9
4993,0
1021,5
1727,5
8308,0
1091,7
3733,5
2745,8
2128,0
1339,0
1102,7
4354,7
667,8
4470,8
7365,3
2954,7
7847,9
4144,2
1637,3
6508,6
5864,4
1146,3
6228,3
1311,1
5002,0
2585,6
1166,4
5708,4
4307,4
8150,0
2311,3
6601,4
8209,2
4314,4
4830,3
75,0
2322,5
2024,8
4059,5
3635,2
1226,3
8317,3
7930,4
7275,2
5613,8
4134,4
3693,5
1044,8
1321,9
3406,4
7172,8
3921,0
543,4
2224,9
7433,8
8382,7
2649,8
2352,4
5420,0
230,5
3872,0
589,9
5439,3
7035,2
4091,0
7730,8
7357,2
769,9
742,5
809,9
3202,5
4890,2
2670,8
7776,3
4463,3
1308,1
5425,2
914,4
6066,2
486,5
1088,3
1358,2
8446,8
7479,2
450,2
630,5
8685,4
8596,2
1573,2
3561,9
7178,4
6300,5
407,7
149,5
3625,2
153,5
4128,3
496,6
4488,0
6359,9
2912,7
3142,2
8705,4
4099,0
7979,3
7559,1
5912,9
4539,0
2587,6
2928,7
588,9
165,8
8332,8
5015,2
6113,7
7262,9
3902,0
7375,6
4428,2
6146,3
4080,0
7828,8
3927,0
8554,4
7532,1
4804,1
812,9
999,3
5107,6
6252,2
6834,4
2410,8
6097,3
1791,9
2400,8
5078,3
3811,7
1107,7
8376,7
2700,8
5918,1
6552,0
6539,5
6587,9
7309,7
8226,9
7589,1
1857,0
2431,6
6418,8
8324,3
2332,5
2174,5
2553,2
2970,6
8237,1
7344,3
4719,9
5776,8
424,8
4682,7
3860,0
439,8
6873,0
4892,2
5690,7
4060,5
5027,2
8550,3
568,9
5590,8
7292,4
1035,8
7169,7
5869,6
4041,2
4501,0
3474,7
7708,9
5373,7
6003,0
5635,8
1404,0
3718,2
6317,5
691,5
7413,4
1055,8
5115,6
3247,0
4601,5
1646,3
2261,9
4623,1
1775,2
4412,4
1972,4
4015,7
3901,0
5640,8
5335,7
5014,0
3855,3
5430,2
3396,7
6318,5
5193,5
7140,7
4291,3
5201,5
4492,0
7613,3
1839,4
5953,1
2575,3
1440,6
7358,2
753,5
5941,9
2512,8
8635,7
5720,5
3532,9
2310,3
4242,4
3222,4
4434,2
1563,2
175,7
6519,4
3814,7
7733,8
2836,3
4467,3
5772,8
8161,5
622,3
1151,3
8459,8
233,5
4183,9
6951,4
7354,3
7242,3
994,8
7450,1
4271,4
2090,9
6880,8
3236,0
7067,0
5617,8
7170,8
4756,0
6071,3
2009,7
6963,2
4430,2
2467,8
7959,2
1104,7
6947,4
5555,5
3619,6
7605,3
2617,2
5670,7
8112,0
1742,5
4693,7
5813,8
8535,5
6439,9
5044,2
6703,3
6898,4
845,3
4014,7
2604,6
3827,7
2535,8
7503,1
4652,2
7480,2
4628,4
8386,7
918,4
3515,9
8060,4
6122,3
1124,7
7784,0
5934,3
5187,5
4212,4
157,8
5503,2
2873,9
2223,9
7070,5
3622,2
2593,6
336,7
5816,8
130,5
3154,4
5269,3
502,5
1085,3
5464,4
8404,8
2469,8
3948,0
6166,4
5444,3
6411,8
5862,4
5038,2
7213,0
7155,7
4020,7
19,3
2949,7
4705,0
2862,4
5481,2
5719,5
6747,0
3875,0
1139,9
2398,8
2750,8
1849,0
7992,4
4450,3
2548,2
2052,6
63,2
3005,6
1275,7
6204,8
2113,2
4739,0
6870,0
5396,0
5957,1
7253,9
868,1
5956,1
5880,6
5867,6
8267,9
657,8
6631,4
8581,9
2156,5
6869,0
4007,7
2100,4
1157,4
7224,9
6986,3
8486,5
1145,3
7561,1
6505,6
2182,5
6276,4
5411,0
1303,7
586,3
6193,3
2594,6
556,9
249,5
6308,5
8215,3
1144,9
1883,0
2221,9
3416,4
4356,7
4089,0
8552,3
4204,4
3080,7
534,8
4072,0
3925,0
4023,7
5691,7
7418,4
2921,7
6497,2
2716,8
6264,3
4191,4
1632,2
6489,5
6082,7
1708,5
7012,2
3997,7
603,3
6487,5
3409,4
5365,7
1483,6
4812,2
1492,6
2693,8
597,2
4140,3
6481,9
5281,9
7124,7
2460,8
4375,7
7639,0
3197,3
4878,2
3488,7
7173,4
1846,0
5164,6
723,5
8040,4
3362,2
6246,2
3498,9
561,3
6692,9
985,0
114,8
5312,7
549,4
1759,4
3261,0
6719,2
1429,6
2811,2
4669,7
1979,9
5584,3
1103,7
6839,4
7726,8
129,5
6895,4
8630,7
6650,5
4503,0
4219,4
7225,9
8175,3
3042,9
141,5
5114,6
2038,8
648,5
3800,7
3631,2
1475,6
6375,8
8012,7
2841,2
6702,3
6201,8
7520,1
3367,2
5054,2
1246,4
2917,7
8700,4
8090,5
5716,3
8282,4
8160,5
639,5
748,5
123,5
1660,9
7343,3
1170,0
658,8
1138,9
7610,3
7174,4
6743,0
7587,1
6625,4
8682,4
973,0
1892,0
4027,7
6237,9
7026,3
3250,0
4852,2
2473,8
576,2
4042,2
1010,2
3048,9
5518,3
4592,9
2099,4
3876,0
7249,1
4315,7
8270,9
3004,6
3696,5
2215,9
6109,7
4931,9
8421,5
7470,3
3199,5
7269,8
2783,8
6770,8
7816,8
6808,0
6852,3
752,5
1659,9
1167,4
11,1
6745,0
7705,9
8528,8
2265,9
5257,3
280,4
3654,2
3090,7
229,5
3616,6
4196,4
1649,2
799,3
1215,3
5877,3
4159,1
2534,8
117,8
2300,3
1743,5
6200,3
4765,0
7953,2
1071,8
911,4
3661,2
418,3
295,4
3538,9
1361,2
1478,6
54,3
3730,3
3169,7
2734,8
5649,7
7448,1
2919,7
3321,9
5212,5
5799,8
7426,2
8699,4
660,8
7057,9
6371,8
7827,8
6476,1
550,4
1007,2
1831,5
3672,5
718,5
4837,6
7093,5
5979,4
5091,3
1978,4
3438,2
8229,9
2007,7
1993,0
8436,9
2763,8
3353,2
5852,8
2348,5
511,8
7055,9
7660,3
3517,9
6883,8
3580,2
8684,4
7849,9
902,8
6532,4
4737,0
4380,7
6391,9
1986,0
444,2
2039,8
4674,7
6078,3
7395,4
3344,5
2926,7
2498,8
5397,0
3755,2
5032,2
2820,2
7256,9
4317,7
8123,0
7077,5
3583,2
2856,4
5609,8
5504,2
7024,3
4627,1
6224,9
8488,5
13,1
1811,6
579,9
2558,3
4584,2
1014,2
1618,4
5501,2
4454,1
3189,5
3726,3
7472,3
6988,2
6754,3
8326,1
2327,5
1885,0
2795,0
1948,6
578,9
7845,9
8409,5
3537,9
4929,9
2722,8
1075,9
8216,3
3124,0
3919,0
7411,4
3710,1
5552,5
7495,1
4767,0
2159,5
2837,3
6338,5
4018,7
1291,9
2607,6
1875,0
5530,8
6316,5
1057,8
4446,3
8707,4
5231,5
6352,9
2674,8
5379,5
5531,8
4577,1
2307,3
7064,3
4729,3
5794,8
7920,4
6881,8
3486,7
6171,4
5325,7
4281,1
5488,2
4659,7
8462,8
401,7
4903,2
760,3
8648,9
3774,5
2294,2
53,3
4525,9
4051,2
7914,4
8003,7
8703,4
3970,2
7147,7
7788,0
4032,1
4441,1
2677,8
3507,3
819,3
6181,6
7671,1
4355,7
3709,1
6846,9
7586,1
3768,5
6653,3
793,9
768,9
8721,9
3386,7
4438,2
3178,4
7997,4
2816,2
2634,8
7473,9
4365,7
3577,3
6056,3
4608,5
3698,5
1422,6
201,4
3947,0
8182,2
7742,9
2866,4
86,0
7523,1
7500,1
8186,2
3555,1
6314,5
5940,9
1323,9
6620,4
520,8
3058,8
8306,0
1342,0
2923,7
4276,4
457,5
4201,4
5822,8
3601,6
604,3
5416,0
716,5
6210,3
4075,0
5361,7
1507,2
5298,8
2681,8
2567,8
2262,9
6347,5
1441,6
7042,9
2170,2
7259,3
8425,2
1046,8
4142,4
6466,8
3017,6
